date,rolling_beta
2005-05-18,0.8048482073109665
2005-05-19,0.7999986997363273
2005-05-20,0.8183588732017586
2005-05-23,0.8180985431478021
2005-05-24,0.8034706173401048
2005-05-25,0.8083559516171964
2005-05-26,0.7960261090696101
2005-05-27,0.7983556806858505
2005-05-31,0.7492295602147269
2005-06-01,0.7519180894591125
2005-06-02,0.7541579292821299
2005-06-03,0.7271913648176862
2005-06-06,0.7334744571901197
2005-06-07,0.7303305461314965
2005-06-08,0.7357048164160226
2005-06-09,0.7229321606816503
2005-06-10,0.7433578356735915
2005-06-13,0.7428929154201894
2005-06-14,0.7314518052775628
2005-06-15,0.7180843019509544
2005-06-16,0.697940133166148
2005-06-17,0.6982023832136145
2005-06-20,0.6986837295659448
2005-06-21,0.6933795670119468
2005-06-22,0.6932172125711973
2005-06-23,0.59629566253486
2005-06-24,0.5759657536633737
2005-06-27,0.5677582967089695
2005-06-28,0.5273542211008695
2005-06-29,0.5283169600607502
2005-06-30,0.5194543288741907
2005-07-01,0.5036152288101451
2005-07-05,0.47773982172408785
2005-07-06,0.484615558559861
2005-07-07,0.47641307241746284
2005-07-08,0.45747954114318246
2005-07-11,0.4113546248626655
2005-07-12,0.4409435697716296
2005-07-13,0.4389248581969025
2005-07-14,0.3983205427089823
2005-07-15,0.36882503256956867
2005-07-18,0.4274156899949021
2005-07-19,0.4498532386763048
2005-07-20,0.435768326286259
2005-07-21,0.4406164970038242
2005-07-22,0.457710833433479
2005-07-25,0.44857771126195517
2005-07-26,0.41630152813987376
2005-07-27,0.4363185110845364
2005-07-28,0.4769119079781494
2005-07-29,0.5021731271839406
2005-08-01,0.4987829042629334
2005-08-02,0.4966979670270104
2005-08-03,0.493428106323035
2005-08-04,0.5519938285789785
2005-08-05,0.5857999344823572
2005-08-08,0.5538296841848827
2005-08-09,0.5546693521533396
2005-08-10,0.5680603315879744
2005-08-11,0.602181429960197
2005-08-12,0.5259432171855364
2005-08-15,0.5148761037432319
2005-08-16,0.45122815965351953
2005-08-17,0.44412181528057615
2005-08-18,0.4431237943114292
2005-08-19,0.42797497279068053
2005-08-22,0.4462936369792736
2005-08-23,0.44375948988595265
2005-08-24,0.49710252969831986
2005-08-25,0.485717544309392
2005-08-26,0.5007508710186188
2005-08-29,0.49930325061513686
2005-08-30,0.49987183261414325
2005-08-31,0.5973161089705167
2005-09-01,0.5851516866620283
2005-09-02,0.5943386830319116
2005-09-06,0.6073701454229667
2005-09-07,0.6093148511304669
2005-09-08,0.6163390733822763
2005-09-09,0.6294554076966173
2005-09-12,0.6030439984980029
2005-09-13,0.607846770112708
2005-09-14,0.6048619307626582
2005-09-15,0.6125098707509401
2005-09-16,0.6095478356846649
2005-09-19,0.6989021397654708
2005-09-20,0.7389272411129619
2005-09-21,0.6573159702363882
