ticker,date,close,shares,exposure,sharetrades,tradevalue,commission,interest,short_borrow_cost,margin_call
VTI,2021-06-16,204.14700000000002,56122,11457137.934,0,0,0,0,-0,FALSE
TLT,2021-06-16,118.17300000000003,110412,13047717.276000004,0,0,0,0,-0,FALSE
GLD,2021-06-16,171.11000000000013,69054,11815829.940000009,0,0,0,0,-0,FALSE
VIXY,2021-06-16,524.9970000000006,0,0,0,0,0,0,-0,FALSE
SVXY,2021-06-16,26.775000000000013,138915,3719449.125000002,0,0,0,0,-0,FALSE
Cash,2021-06-17,0,0,-19962271.15597609,0,-0,0,-0,0,FALSE
VTI,2021-06-17,203.95099999999996,56122,11446138.021999998,0,0,0,0,-0,FALSE
TLT,2021-06-17,119.94300000000003,110412,13243146.516000003,0,0,0,0,-0,FALSE
GLD,2021-06-17,165.8500000000001,69054,11452605.900000008,0,0,0,0,-0,FALSE
VIXY,2021-06-17,521.7970000000008,0,0,0,0,0,0,-0,FALSE
SVXY,2021-06-17,26.935000000000013,138915,3741675.525000002,0,0,0,0,-0,FALSE
Cash,2021-06-18,0,0,-19293014.91997609,0,669361.6000000004,0,-0,0,FALSE
VTI,2021-06-18,201.42399999999998,56122,11304317.727999998,0,0,0,0,-0,FALSE
TLT,2021-06-18,122.19800000000002,110412,13492125.576000003,0,0,0,0,-0,FALSE
GLD,2021-06-18,164.9300000000001,61483,10140391.190000005,-7571,-1248685.0300000007,26.498500000000014,0,-0,FALSE
VIXY,2021-06-18,567.1970000000006,0,0,0,0,0,0,-0,FALSE
SVXY,2021-06-18,25.71000000000001,161448,4150828.080000002,22533,579323.4300000003,78.86550000000004,0,-0,FALSE
Cash,2021-06-21,0,0,-19293014.91997609,0,-0,0,-0,0,FALSE
VTI,2021-06-21,204.20199999999997,56122,11460224.643999998,0,0,0,0,-0,FALSE
TLT,2021-06-21,120.15200000000004,110412,13266222.624000005,0,0,0,0,-0,FALSE
GLD,2021-06-21,166.9500000000001,61483,10264586.850000007,0,0,0,0,-0,FALSE
VIXY,2021-06-21,529.9970000000008,0,0,0,0,0,0,-0,FALSE
SVXY,2021-06-21,26.650000000000013,161448,4302589.200000002,0,0,0,0,-0,FALSE
Cash,2021-06-22,0,0,-16507770.593034798,0,2785792.9859999977,0,-0,0,FALSE
VTI,2021-06-22,205.36400000000003,-3246,-666611.5440000001,-59368,-12192049.952000001,193.09550129870132,0,-0,FALSE
TLT,2021-06-22,120.44600000000001,146018,17587284.028,35606,4288600.276000001,104.49805740740743,0,-0,FALSE
GLD,2021-06-22,166.2500000000001,84252,14006895.00000001,22769,3785346.250000003,79.69150000000006,0,-0,FALSE
VIXY,2021-06-22,505.39700000000056,0,0,0,0,0,0,-0,FALSE
SVXY,2021-06-22,27.210000000000015,210412,5725310.520000003,48964,1332310.4400000006,171.37400000000008,0,-0,FALSE
Cash,2021-06-23,0,0,-16788392.799219318,0,-280617.76000000007,0,-0,0,FALSE
VTI,2021-06-23,205.28000000000003,-1879,-385721.12000000005,1367,280617.76000000007,4.446184517881395,0,-0,FALSE
TLT,2021-06-23,120.13500000000005,146018,17541872.430000007,0,0,0,0,-0,FALSE
GLD,2021-06-23,166.1400000000001,84252,13997627.280000009,0,0,0,0,-0,FALSE
VIXY,2021-06-23,495.3980000000008,0,0,0,0,0,0,-0,FALSE
SVXY,2021-06-23,27.470000000000017,210412,5780017.640000003,0,0,0,0,-0,FALSE
Cash,2021-06-24,0,0,-18530292.513967156,0,-1741556.0299999998,0,-0,0,FALSE
VTI,2021-06-24,206.67000000000004,-3836,-792786.1200000002,-1957,-404453.19000000006,6.384566863611764,0,-0,FALSE
TLT,2021-06-24,120.32800000000003,194158,23362643.824000005,48140,5792589.920000002,141.2826809756098,0,-0,FALSE
GLD,2021-06-24,166.04000000000008,69133,11478843.320000006,-15119,-2510358.760000001,52.91650000000003,0,-0,FALSE
VIXY,2021-06-24,484.5980000000005,0,0,0,0,0,0,-0,FALSE
SVXY,2021-06-24,27.790000000000013,169526,4711127.540000002,-40886,-1136221.9400000006,143.10100000000008,0,-0,FALSE
Cash,2021-06-25,0,0,-20291549.63714284,0,-1760725.6089999988,0,-0,0,FALSE
VTI,2021-06-25,207.44400000000005,51077,10595617.188000003,54913,11391372.372000003,179.14986880251635,0,-0,FALSE
